OVERALL,POS,Best,Worst,Avg,Std Dev,ADP,vs. ADP
Matt Asiata,RB92,228,307,276,34.4,256,-91
Robert Turbin,RB93,229,300,267.3,28.9,317,-31
Christine Michael,RB94,232,335,292.3,43.9,271,-78
Dion Sims,TE47,236,321,278.5,42.5,441,91
Gary Barnidge,TE48,240,356,298,58,364,13
Gavin Escobar,TE49,242,308,275,33,390,38
Daniel Fells,TE50,243,336,289.5,46.5,,
Ted Ginn,WR111,244,439,341.5,97.5,,
Ed Dickson,TE51,248,333,290.5,42.5,,
Johnny Manziel,QB38,250,455,349.7,83.8,315,-41
Zach Zenner,RB95,253,352,302.5,49.5,267,-90
Levine Toilolo,TE52,261,292,276.5,15.5,433,75
Jimmy Garoppolo,QB39,263,457,382.3,85.3,324,-35
Rhett Ellison,TE53,264,382,323,59,,
Luke Willson,TE54,265,309,287,22,409,48
C.J. Fiedorowicz,TE55,266,387,326.5,60.5,,
Bobby Rainey,RB96,267,332,299.5,32.5,389,26
Marcel Reece,RB97,271,349,310,39,295,-69
Ryan Mallett,QB40,272,458,345.3,80.9,300,-65
Rishard Matthews,WR112,272,443,357.5,85.5,,
Michael Campanaro,WR113,273,365,319,46,,
Tyler Kroft,TE56,274,352,313,39,380,12
Sammie Coates,WR114,275,442,357,68.2,275,-94
Dri Archer,RB98,277,299,288,11,374,4
Jaron Brown,WR115,279,394,336.5,57.5,,
Mike Tolbert,RB99,279,340,318.7,28.1,341,-31
Bruce Ellington,WR116,283,434,358.5,75.5,,
Ryan Grant,WR117,284,437,360.5,76.5,,
Clay Harbor,TE57,285,355,320,35,,
Louis Murphy,WR118,287,433,360,73,429,53
Jamison Crowder,WR119,288,436,362,74,392,15
Charcandrick West,RB100,289,379,334,45,,
Dante Rosario,TE58,290,373,331.5,41.5,,
Colt McCoy,QB41,292,298,295,3,404,24
Zach Mettenberger,QB42,293,469,381,88,417,36
Troy Niklas,TE59,294,361,327.5,33.5,434,52
Chris Matthews,WR120,295,311,303,8,391,8
Corey Fuller,WR121,298,419,358.5,60.5,,
Jack Doyle,TE60,300,338,319,19,,
Brandon Myers,TE61,302,324,313,11,412,26
Darrel Young,RB101,304,366,335,31,437,50
Justin Hardy,WR122,308,314,311,3,347,-41
Anthony Dixon,RB102,310,380,345,35,319,-70
Joseph Morgan,WR123,312,412,362,50,,
Ryan Griffin,TE62,313,320,316.5,3.5,,
Joseph Fauria,TE63,314,374,344,30,,
Devin Hester,WR124,315,393,354,39,431,38
Vance McDonald,TE64,317,319,318,1,,
Matt Spaeth,TE65,318,351,334.5,16.5,,
Jesse James,TE66,319,364,341.5,22.5,,
Cooper Helfet,TE67,323,367,345,22,,
Chris Hogan,WR125,324,429,376.5,52.5,356,-42
Jordan Todman,RB103,326,400,363,37,363,-36
Brandon Pettigrew,TE68,326,362,344,18,411,11
Quinton Patton,WR126,327,331,329,2,386,-15
Kendall Hunter,RB104,328,368,348,20,245,-157
Craig Stevens,TE69,332,413,372.5,40.5,,
Fozzy Whittaker,RB105,333,427,380,47,362,-42
MarQueis Gray,TE70,334,372,353,19,,
Devin Street,WR127,336,402,369,33,,
Ka'Deem Carey,RB106,337,359,348,11,257,-150
Cedric Peerman,RB107,341,390,365.5,24.5,,
Tony Moeaki,TE71,341,347,344,3,,
Jimmy Clausen,QB43,342,462,402,60,192,-218
Demetrius Harris,TE72,343,384,363.5,20.5,,
John Kuhn,RB108,345,380,362.5,17.5,240,-172
Adrien Robinson,TE73,346,378,362,16,,
James Hanna,TE74,346,349,347.5,1.5,,
Donald Brown,RB109,351,389,370,19,,
Vick Ballard,RB110,353,409,381,28,,
Marlon Brown,WR128,360,374,367,7,373,-44
Zurlon Tipton,RB111,363,388,375.5,12.5,,
Anthony Fasano,TE75,363,383,373,10,435,16
Miles Austin,WR129,364,420,392,28,400,-20
Brandon Williams,TE76,365,391,378,13,,
Kyle Juszczyk,RB112,368,377,372.5,4.5,244,-178
Patrick DiMarco,RB113,371,379,375,4,,
Robert Hughes,RB114,373,409,391,18,,
Jeremy Ross,WR130,376,400,388,12,443,18
Chris Thompson,RB115,377,392,384.5,7.5,,
Travis Benjamin,WR131,383,430,406.5,23.5,223,-204
Anthony Sherman,RB116,391,398,394.5,3.5,,
Kerwynn Williams,RB117,392,396,394,2,,
Andre Caldwell,WR132,393,423,408,15,,
Darrius Heyward-Bey,WR133,396,442,419,23,,
Storm Johnson,RB118,397,417,407,10,,
Will Johnson FA,RB119,401,414,407.5,6.5,,
Junior Hemingway,WR134,404,444,424,20,,
Jacoby Jones,WR135,404,420,412,8,,
J.J. Nelson,WR136,406,445,425.5,19.5,,
Dwayne Harris,WR137,406,417,411.5,5.5,,
Kenny Bell,WR138,411,439,425,14,,
Tommy Bohanon,RB120,411,414,412.5,1.5,,
Chad Henne,QB44,415,471,443,28,420,-20
Marquise Goodwin,WR139,419,449,434,15,,
Duron Carter,WR140,421,443,432,11,384,-58
Chris Givens,WR141,421,438,429.5,8.5,206,-237
Jared Abbrederis,WR142,423,432,427.5,4.5,230,-214
Drew Stanton,QB45,424,464,444,20,416,-29
Robert Herron,WR143,426,446,436,10,,
Brock Osweiler,QB46,428,483,455.5,27.5,233,-214
Ricardo Lockette,WR144,435,437,436,1,,
Jason Avant,WR145,440,450,445,5,442,-7
Jordan Norwood,WR146,444,448,446,2,236,-214
