OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Nick Boyle,TE64,8,252,450,369.8,64.6,,
James'Shaughnessy,TE65,10,331,424,371.4,35.4,381,-82
Luke Stocker,TE66,9,222,408,347.5,73.4,,
Maxx Williams,TE67,12,240,460,374.6,60.7,,
Ryan Finley,QB44,9,284,486,377.8,79.7,,
Chad Kelly,QB45,6,284,351,311.7,28.6,,
DeAndre Carter,WR151,10,301,400,353,44,,
Byron Pringle,WR152,12,291,459,381,56.6,,
John Ursua,WR153,11,260,379,320.7,48.6,,
Josh Bellamy,WR154,4,281,395,359.5,45.9,,
Pierre Garcon FA,WR155,,240,265,252.5,12.5,,
Tajae Sharpe,WR156,11,265,448,362.3,65.8,358,-115
Emanuel Hall,WR157,7,276,416,326.3,63.6,,
Logan Paulsen,TE68,10,271,435,327.7,75.9,,
Dez Bryant FA,WR158,,226,290,258,32,,
Laquon Treadwell FA,WR159,,242,377,329.7,62.1,334,-143
Darren Fells,TE69,10,217,462,387.6,60.5,,
Lee Smith,TE70,6,264,441,337.3,75.4,,
David Fluellen,RB137,11,280,414,340,55.6,,
Taiwan Jones,RB138,10,252,298,275,23,,
Virgil Green,TE71,12,329,436,373.5,39.3,,
Mack Hollins,WR160,10,275,455,373.8,64.2,,
Dan Arnold,TE72,9,318,407,375.3,34.8,,
Garrett Celek,TE73,4,366,449,395.2,28.6,,
Samaje Perine,RB139,9,252,314,283,31,,
Torrey Smith FA,WR161,,270,410,346.3,57.9,,
Robert Griffin,QB46,8,284,448,378.3,64.9,,
Brett Hundley,QB47,12,292,430,380,54.8,,
Robert Tonyan,TE74,11,265,322,293.5,28.5,,
Luke Willson FA,TE75,,331,370,354,16.7,,
Austin Carr,WR162,9,316,396,354.7,32.7,,
Stephen Anderson,TE76,10,285,447,384.3,61.1,,
Greg Dortch,WR163,4,280,398,355.7,53.6,,
Juwann Winfree,WR164,10,277,436,356.3,64.9,,
Jason Croom,TE77,6,319,401,360.7,33.5,,
Noah Brown,WR165,8,289,413,362.3,53.1,,
Andre Roberts,WR166,6,279,339,309,30,,
Trevon Wesco,TE78,4,278,345,311.5,33.5,,
Auden Tate,WR167,9,270,359,314.5,44.5,,
Marcell Ateman,WR168,6,339,409,367.3,30.1,,
Scott Miller,WR169,7,375,421,394,18.8,,
Richie James,WR170,4,351,444,395.5,33,,
Zach Pascal,WR171,6,319,461,395.8,51,368,-136
Josh McCown,QB48,10,292,462,370.7,70,,
Chase Daniel,QB49,6,292,464,399,69.2,,
Kaden Smith,TE79,4,268,387,327.5,59.5,,
Mason Rudolph,QB50,7,297,368,332.5,35.5,387,-121
Elijhaa Penny,RB140,11,277,397,337,60,,
Ed Dickson,TE80,11,383,434,405.5,20.3,,
Levine Toilolo,TE81,4,355,420,384.7,26.8,,
James Develin,RB141,10,295,392,343.5,48.5,366,-146
Austin Seferian-Jenkins FA,TE82,,294,394,344,50,,
Drew Sample,TE83,9,365,458,410.3,34.8,,
Zach Line,RB142,9,284,416,350,66,,
Alex Armah,RB143,7,280,423,351.5,71.5,,
Anthony Firkser,TE84,11,361,461,412.8,39.1,,
Jacob Hollister,TE85,11,342,440,393.7,40.2,,
Taylor Bertolet FA,K38,,325,385,355,30,,
Maurice Harris FA,WR172,,348,366,357,9,,
Gardner Minshew,QB51,10,244,487,365.5,121.5,,
Will Grier,QB52,7,374,424,401,20.6,,
Damion Ratley,WR173,7,311,423,367,56,,
Darius Jennings,WR174,11,337,398,367.5,30.5,,
CJ Ham,RB144,12,320,417,368.5,48.5,,
Tyler Conklin,TE86,10,384,428,404,18.2,,
Cody Core,WR175,11,368,454,405.3,36,,
Anthony Sherman,RB145,12,325,425,375,50,,
Javon Wims,WR176,6,359,393,376,17,,
Zach Gentry,TE87,7,325,433,379,54,,
Derek Carrier,TE88,6,336,422,379,43,,
Russell Gage,WR177,9,313,452,382.5,69.5,,
Colt McCoy,QB53,10,321,445,383,62,,
Eric Tomlinson,TE89,11,369,398,383.5,14.5,,
Jordan Taylor FA,WR178,,367,413,390,23,,
Marcedes Lewis,TE90,11,362,421,391.5,29.5,,
Logan Thomas,TE91,5,381,406,393.5,12.5,,
Joshua Perkins,TE92,10,341,456,398.5,57.5,,
Eli Rogers FA,WR179,,352,445,398.5,46.5,,
Jeremy Sprinkle,TE93,10,358,465,423,46.6,,
Dwayne Allen FA,TE94,,332,480,406,74,,
Braxton Berrios,WR180,4,361,451,406,45,,
Sean Culkin,TE95,12,398,424,411,13,,
Matt Barkley,QB54,6,378,465,431.3,38.1,,
Seth DeValve,TE96,10,396,466,432,28.6,,
Troy Fumagalli,TE97,10,390,440,415,25,,
Ben Braunecker,TE98,6,379,457,418,39,,
Chris Manhertz,TE99,7,394,447,420.5,26.5,,
Dalton Schultz,TE100,8,400,464,437.7,27.3,,
AJ McCarron,QB55,10,380,477,428.5,48.5,,
Tim Boyle,QB56,11,386,485,435.5,49.5,,
Trevor Siemian,QB57,4,394,471,432.5,38.5,,
Durham Smythe,TE101,5,411,461,436,25,,
Antony Auclair,TE102,7,432,443,437.5,5.5,,
Johnny Mundt,TE103,9,447,451,449,2,,
Matt Moore,QB58,12,442,483,462.5,20.5,,
David Morgan,TE104,12,455,460,457.5,2.5,,
Jarrett Stidham,QB59,10,453,468,460.5,7.5,,
